"individual_id","population_id","ecotype","elevation","DTF","Darker axillae","Days to budding","Disk diameter","Disk to phyllaries diameter ratio","Distance of first branching from ground","Flower FHDD ratio","Flower head diameter","Flowerhead to phyllaries diameter ratio","Internode length","LIR","Leaf C N ratio","Leaf area","Leaf circular","Leaf curved height","Leaf curved shape index","Leaf curvedHeight maxWidth","Leaf distal eccentricity","Leaf eccentricity","Leaf eccentricity area index","Leaf ellipsoid","Leaf height mid-width","Leaf maximum height","Leaf maximum width","Leaf obovoid","Leaf perimeter","Leaf proximal eccentricity","Leaf rectangular","Leaf shape index external I","Leaf shape index external II","Leaf shape index internal","Leaf total C","Leaf total N","Leaf width mid-height","Leaf width widest pos","Ligule LW ratio","Ligule length","Ligule width","Ligules number","Petiole main veins colour","Phyllaries LW ratio","Phyllaries diameter","Phyllaries length","Phyllaries width","Plant height at flowering","Primary branches","RGB proportion blue","RGB proportion green","RGB proportion red","SLA","Seed HW ratio","Seed area","Seed circular","Seed curved height","Seed curved shape index","Seed distal eccentricity","Seed eccentricity","Seed eccentricity area index","Seed ellipsoid","Seed height mid width","Seed maximum height","Seed maximum width","Seed ovoid","Seed perimeter","Seed proximal eccentricity","Seed rectangular","Seed shape index external I","Seed shape index external II","Seed shape index internal","Seed width mid height","Seed width widest pos","Stem colour","Stem diameter at flowering","Stem diameter final after 5th node","Stem diameter final before 1st node","TLN","Total RGB","Trichomes density center average","Trichomes density edge average","Trichomes density leaf center flat area","Trichomes density leaf center secondary veins","Trichomes density leaf edge flat area","Trichomes density leaf edge secondary veins","Trichomes density nonvein average","Trichomes density vein average","Trichomes length"
"ANN0888","ANN_09","north american desert",1270,50,"1",24,3.750170089,0.562092197,9,3.712118392,13.92633413,2.086095604,5.776470588,0.708333333,6.493869319,8866.6919,0.2622,172.9934,2.6318,1.929394838,0.9212,0.7886,0.3988,0.1183,162.306,169.672,89.662,0.5668,498.0899,0.89,0.3287,1.8924,2.6189,2.63,42.25,6.506,61.976,0.7695,3.684058784,5.101242999,1.387237796,22.66666667,4,3.244615711,6.673000705,2.889560265,0.891453467,98.2,17,0.205203733,0.473284223,0.321512044,26.57084777,1.865496762,8.932475,0.194025,4.770425,1.9537875,0.8396125,0.7469625,0.4104,0.057575,4.5945,4.644775,2.5571875,0.281425,12.6039,0.8815375,0.45805,1.8229625,1.9010875,1.7865625,2.4235875,0.35725,3,33.5,32,44,17,197.243,40.5,89,43,38,125,53,84,45.5,2.750473469
"ANN0889","ANN_09","north american desert",1270,47,"0",20,3.66046029,0.508762376,8.5,3.368187072,12.20360217,1.71148789,5.394117647,0.85,6.946699035,6560.1159,0.2476,164.7022,1.8563,2.228295046,0.8707,0.5769,0.5055,0.0962,125.222,145.542,73.914,0.4668,464.9541,0.7158,0.3673,1.9691,2.2824,1.701,41.326,5.949,54.864,0.75,2.901704628,4.494466895,1.55988387,21,2,4.384175845,7.186236792,3.273842049,0.755089596,91.7,16,0.199635403,0.471508847,0.328855749,27.39088058,2.07580524,7.6707875,0.223475,4.59425,2.1297,0.84855,0.7590625,0.4165875,0.0622,4.4000375,4.4489625,2.2132375,0.2749375,11.7857625,0.88825,0.4895,2.02455,2.099275,2.00655,2.1113875,0.3499125,0,22,30,34,17,212.838,60,44,51,69,48,40,49.5,54.5,3.801795918
"ANN0890","ANN_09","north american desert",1270,61,"1",35,4.231691478,0.549603164,7.6,2.808998926,11.87551284,1.543799524,8.572222222,0.514285714,7.459447612,11292.171,0.2651,219.6386,1.8625,2.246023111,0.7677,0.391,0.5604,0.1093,155.702,204.216,97.79,0.3428,673.2912,0.4876,0.3342,2.0883,2.1065,1.0064,42.954,5.758,73.914,0.6802,2.262180743,4.11281241,1.837551767,23.66666667,3,4.490172659,7.698778896,3.522534986,0.783888082,154.3,18,0.220920674,0.462214372,0.316864954,21.39073878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35.4,30,36,18,180.042,41,45.5,30,52,53,38,41.5,45,3.329093878
"ANN0893","ANN_10","north american desert",1205,50,"1",26,3.700973268,0.537566061,2.5,3.306116419,12.21728838,1.774533029,6.522222222,0.692307692,6.97855625,9420.4973,0.2279,178.5287,2.282,1.963320943,0.892,0.7541,0.3391,0.094,162.56,172.72,90.932,0.3649,474.2289,0.9209,0.3234,1.8994,2.1262,2.1333,41.801,5.99,76.454,0.6956,3.017449015,4.374912259,1.456107156,21,4,2.804892606,6.883492419,2.630696561,0.940849758,117.4,18,0.214880336,0.464100701,0.321018964,26.06667764,1.985898316,7.7208875,0.2074375,4.5187875,2.0668625,0.8104125,0.7105875,0.4383625,0.0575625,4.3166875,4.3603125,2.2754375,0.2768125,11.88015,0.8586875,0.49495,1.9269875,1.9827375,1.7363875,2.1907625,0.372525,2,29.1,31,42,18,194.001,24.5,26.5,24,25,34,19,29,22,2.425714286
"ANN0896","ANN_10","north american desert",1205,52,"0",26,3.903326013,0.548423798,8,3.297290942,12.87001605,1.807322891,5.96,0.769230769,7.096833895,7961.6615,0.2163,159.8598,2.3462,1.793074904,0.8988,0.7857,0.3767,0.1089,144.272,149.606,89.154,0.5029,432.7727,0.8919,0.35,1.6781,2.2016,2.1792,41.818,5.892,65.532,0.7328,3.444387118,4.446692457,1.294408923,23,4,3.098422666,7.131286239,3.016510282,0.976014302,119.2,20,0.221559148,0.467709508,0.310731344,21.36211833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,34.1,39,43,20,172.094,51,41,27,75,48,34,37.5,54.5,3.424163265
"ANN0897","ANN_10","north american desert",1205,50,"1",26,3.795906683,0.615616453,15,3.098364833,11.76009082,1.907429158,5.195238095,0.807692308,8.117854906,10878.5589,0.1932,179.8193,2.1323,1.796827411,0.8878,0.7948,0.3188,0.0812,176.276,177.292,100.076,0.3259,464.311,0.8892,0.3446,1.7716,2.0904,2.0985,39.974,4.924,84.328,0.7278,2.343664368,3.902054968,1.668495485,25,3,3.258644464,6.077477001,2.544139448,0.781226479,109.1,17,0.207702331,0.475621833,0.316675836,20.3642061,1.889856873,8.0072125,0.194825,4.487725,1.8956125,0.83805,0.74505,0.424925,0.05485,4.2849375,4.3351875,2.3746375,0.2584,11.783075,0.8831875,0.491,1.8283875,1.887,1.7762875,2.2741,0.3698875,2,27.8,NA,NA,21,172.675,57,36,59,55,49,23,54,39,3.019493878
"ANN0899","ANN_10","north american desert",1205,44,"1",20,3.859161084,0.706027055,6.5,3.027946268,11.5864912,2.127079447,5.1625,0.8,6.435387273,9052.6916,0.2084,164.8067,2.0876,1.73953157,0.8577,0.7387,0.436,0.1065,150.622,157.734,94.742,0.4841,456.1302,0.8774,0.3468,1.6649,2.1408,2.0818,41.258,6.411,70.358,0.7646,2.7258601,3.952671858,1.446026922,18.66666667,3,3.19018151,5.464235868,2.174804453,0.683070812,82.6,13,0.232687863,0.449970078,0.317342059,20.24304919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27.6,24,34,16,182.141,50.5,39.5,47,54,49,30,48,42,4.102383673
"ANN0902","ANN_11","north american desert",1030,52,"0",27,5.068697742,0.477505154,16.5,3.045173633,15.44956717,1.454457771,6.363157895,0.703703704,7.533157732,13821.7788,0.1487,221.965,1.9751,1.723625153,0.8444,0.6336,0.4527,0.1119,138.176,174.244,128.778,0.5266,648.9035,0.833,0.3562,1.3531,1.2564,1.2616,43.568,5.784,109.982,0.7711,3.41920304,5.363581324,1.580077823,30.66666667,2,2.492871334,10.61812865,4.043518206,1.625347704,120.9,16,0.245155162,0.442859569,0.311985269,17.7749213,2.379852621,12.6238875,0.2560125,6.3219,2.47945,0.857875,0.7599,0.3922375,0.0600125,6.1608125,6.2137375,2.656425,0.23385,15.7493125,0.8768125,0.4805875,2.3527125,2.4210625,2.2872625,2.5598375,0.386625,1,37.6,42,46,19,188.448,83.5,71,61,106,87,55,74,80.5,3.688408163
"ANN0905","ANN_11","north american desert",1030,69,"0",37,5.89712395,0.480551476,17,2.61846641,15.29901001,1.256958665,7.082142857,0.756756757,8.929239719,10901.2685,0.1654,167.4256,1.687,1.399481753,0.8739,0.6656,0.4469,0.1415,147.066,153.67,119.634,0.6314,547.4954,0.7776,0.3526,1.2845,1.5777,1.3581,43.005,4.816,93.218,0.7634,3.041787577,5.010856931,1.658291006,33,3,2.760547792,12.25297783,3.596298645,1.323363177,198.3,24,0.228927297,0.455110369,0.315962334,25.91837494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41,32,46,28,183.294,45,40.5,55,35,46,35,50.5,35,4.44955102
"ANN0909","ANN_11","north american desert",1030,67,"1",32,6.576390125,0.552757691,23,2.853468177,18.75727119,1.575437827,7.613636364,0.6875,8.083546073,19849.1861,0.1522,246.6717,1.7288,1.496376618,0.9161,0.6749,0.4034,0.1345,177.292,205.74,164.846,0.4613,780.9,0.9025,0.3399,1.2481,1.358,1.2757,42.889,5.306,130.556,0.7222,2.798907831,6.565402022,2.3466278,28.33333333,2,2.592248566,12.34039159,4.691333742,1.811138759,167.5,19,NA,NA,NA,27.99208306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,39.6,40,42,22,NA,62.5,41,66,59,50,32,58,45.5,2.868269388
"ANN0910","ANN_11","north american desert",1030,52,"0",32,5.678185057,0.54552042,22.5,3.019116193,17.13278904,1.645144904,6.82,0.625,6.306131223,14454.7453,0.1522,211.7065,1.8822,1.666980315,0.8838,0.6279,0.4502,0.0934,163.83,187.96,127,0.4219,652.2192,0.7851,0.3557,1.48,1.5848,1.3728,43.088,6.833,103.378,0.6637,2.650845234,5.857952022,2.237911185,27,2,2.26129898,10.43278436,3.828413248,1.704054343,136.4,17,0.228612755,0.458747466,0.312639779,24.76824075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30.6,38,38,20,172.147,83.5,50,119,48,49,51,84,49.5,3.740326531
"ANN0931","ANN_14","north american desert",1410,64,"1",35,3.364695943,0.572910089,22,3.744265168,12.60076724,2.14517761,6.564285714,0.8,6.82750312,12744.4906,0.1896,198.4532,2.2133,1.655321634,0.8828,0.7091,0.4259,0.1237,175.006,183.642,119.888,0.53,559.3599,0.8312,0.3254,1.5318,2.0265,1.8156,43.02,6.301,86.36,0.7568,2.220161174,4.719828091,2.131334972,21.5,2,2.846096154,6.823622187,2.537244576,0.889087707,183.8,25,0.212669464,0.479005582,0.308324954,25.25662029,1.89960911,7.7209375,0.1899375,4.44055,1.9231125,0.8384375,0.7477375,0.402925,0.049075,4.2743125,4.3100625,2.3376125,0.223025,11.61735,0.8814,0.486975,1.850725,1.885675,1.7744375,2.275425,0.3946625,3,49.2,40,NA,28,144.205,76.5,58.5,108,45,85,32,96.5,38.5,3.168367347
"ANN0932","ANN_14","north american desert",1410,53,"0",26,4.441102819,0.648649994,16,3.371138381,14.96701233,2.185567853,6.904545455,0.846153846,8.407108899,16176.0322,0.1323,194.6656,1.5863,1.401096892,0.8876,0.6493,0.4506,0.0909,150.876,185.674,138.938,0.4149,576.2216,0.8827,0.3467,1.3364,1.2774,1.2811,43.325,5.153,118.11,0.6799,3.390142969,5.424204184,1.607638493,28.5,2,3.382864485,6.856517722,2.808431237,0.832071573,151.9,20,0.2292298,0.461720284,0.309049916,19.55280092,1.722187876,8.3881875,0.1667375,4.4222125,1.7452875,0.8236,0.7315375,0.421425,0.048875,4.2201,4.2558375,2.5677875,0.2429,12.013675,0.875325,0.4808375,1.6636625,1.7090125,1.5651875,2.4791375,0.3911375,0,39.7,46,NA,22,164.996,65,46,80,50,53,39,66.5,44.5,3.124653061
"ANN0933","ANN_14","north american desert",1410,65,"1",37,4.103659701,0.47479912,9,3.579555332,14.64254173,1.701938145,8.277777778,0.72972973,9.18009532,6636.6964,0.1997,155.4423,2.0598,1.768721269,0.8975,0.6353,0.5053,0.1234,124.206,129.794,87.884,0.5026,434.1299,0.7152,0.318,1.4769,2.0546,1.62,32.617,3.553,60.452,0.7532,3.13338066,5.199118186,1.687991436,22,2,3.919564835,8.68159168,3.816829059,0.85035197,223.5,24,0.228511222,0.457430821,0.314057957,19.48530945,1.823525349,9.5751375,0.1844625,4.9501875,1.8741125,0.8593375,0.7527125,0.3832625,0.0552,4.778375,4.8299875,2.714625,0.2562125,13.1007375,0.8692875,0.4377125,1.7805,1.839125,1.75185,2.6008625,0.3763,3,53.4,44,78,27,183.654,55.5,41.5,58,53,53,30,55.5,41.5,3.41044898
"ANN0940","ANN_14","north american desert",1410,75,"0",39,4.892354486,0.490671293,11,3.376219042,16.50137692,1.653905628,6.338235294,0.871794872,10.61236046,7569.5332,0.2356,164.3648,2.1425,1.843605447,0.8956,0.7559,0.3432,0.1303,146.558,150.114,89.154,0.5262,478.1982,0.9196,0.3299,1.6838,2.4553,2.0273,42.96,4.048,59.69,0.6917,2.839021735,5.923497104,2.088096033,24,1,4.630503721,9.989281436,4.835201216,1.046339673,215.5,36,0.217302536,0.470014575,0.312682889,23.77365955,1.936280593,8.8135,0.2003,4.8567,1.97635,0.8426375,0.7401625,0.4029,0.057,4.6698875,4.7215,2.5082625,0.2530875,12.6485625,0.8703625,0.4539375,1.882625,1.9400625,1.815525,2.407725,0.384025,0,41.4,37,44,34,179.754,76.5,49,77,76,52,46,64.5,61,3.170008163
"ANN0943","ANN_15","north american desert",1515,74,"1",46,4.985292057,0.340492243,21,3.305094096,16.49679999,1.126333466,8.536666667,0.652173913,8.343434296,15798.0329,0.2193,236.5796,2.1274,1.822731405,0.8476,0.6797,0.4935,0.1361,187.452,208.026,129.794,0.6474,696.8211,0.862,0.3276,1.6027,2.2296,1.9577,43.316,5.192,84.074,0.7576,2.937520803,6.102453621,2.125257402,23,2,4.862883167,14.63667057,7.203023422,1.518593943,256.1,28,0.240616785,0.453370546,0.306012669,17.29774762,2.157237583,12.655475,0.2379875,6.1529,2.2948625,0.8368875,0.7361875,0.4091125,0.0660375,6.0126625,6.0563375,2.8522125,0.2978,15.7709375,0.868075,0.44565,2.130475,2.2634,2.0883125,2.6643625,0.3466625,3,47.6,49,49,30,172.702,64.5,57.5,72,57,71,44,71.5,50.5,2.965910204
"ANN0944","ANN_15","north american desert",1515,75,"0",45,5.653860722,0.582382744,15.5,2.592353343,14.68429162,1.532803735,8.117857143,0.622222222,9.012025935,11308.429,0.1254,170.5597,1.6555,1.51921919,0.9224,0.7374,0.36,0.0916,143.764,155.956,112.268,0.4157,500.3174,0.876,0.3911,1.3891,1.4293,1.4304,41.515,4.607,100.584,0.6743,2.766461674,4.852898377,1.75770055,30.25,3,2.596183612,10.13670602,4.300619369,1.669428283,227.3,26,0.213704971,0.474533485,0.311761543,19.71483438,1.792045464,12.9619375,0.1787625,5.573575,1.8496375,0.833125,0.7438,0.4136875,0.051925,5.377675,5.442475,3.110175,0.2889875,15.104675,0.8858875,0.4882875,1.7562375,1.8062625,1.68785,2.9897875,0.3509125,0,39.7,35,46,28,152.514,66.5,63,89,44,89,37,89,40.5,3.268897959
"ANN0947","ANN_15","north american desert",1515,58,"0",24,5.188758665,0.53647528,21,2.736846409,14.16854308,1.473722516,5.410344828,1.208333333,6.976882962,10469.7855,0.1548,162.1574,1.873,1.467620599,0.8607,0.684,0.4593,0.1135,133.858,156.21,110.49,0.4878,474.2183,0.8624,0.351,1.4138,1.5778,1.5789,44.075,6.317,84.836,0.7528,2.746497134,4.699704963,1.755502206,30,2,2.911282027,9.742956257,3.834745146,1.316312207,156.9,25,0.192670742,0.497412002,0.309917256,26.87316607,1.617595984,14.33925,0.141625,5.54245,1.6327,0.8734125,0.7839,0.3815875,0.0471875,5.3975,5.4252875,3.42635,0.2309,15.1691,0.88965,0.49025,1.5861125,1.614,1.59865,3.35095,0.4072625,0,32.6,29,39,29,166.538,39.5,44.5,44,35,63,26,53.5,30.5,3.945795918
"ANN0949","ANN_15","north american desert",1515,53,"0",32,4.719345175,0.543139509,20,3.474403324,16.37435195,1.884058667,7.626315789,0.59375,6.096885673,16047.9679,0.1377,230.2015,1.8713,1.598421725,0.8688,0.6759,0.4276,0.1154,155.956,184.404,144.018,0.4949,697.021,0.8688,0.3761,1.2804,1.3233,1.3243,43.505,7.136,117.856,0.7121,2.756388938,6.011295154,2.19229591,24.66666667,3,2.309166698,8.68771653,3.224769874,1.395736956,144.9,16,0.226704099,0.459921392,0.313374509,24.99294175,1.675825707,13.988575,0.16395,5.63775,1.7740625,0.860325,0.772975,0.3961625,0.054875,5.496725,5.5231875,3.3641625,0.316875,15.245075,0.888725,0.464225,1.6465875,1.7305,1.6929375,3.1882375,0.3430875,1,37.7,45,45,19,178.1,43,34.5,55,31,47,22,51,26.5,4.234040816
"ANN0950","ANN_15","north american desert",1515,48,"0",21,5.424124503,0.463794599,22,3.333871626,18.05850807,1.546871867,7.680952381,1,5.871204965,13795.4563,0.188,201.7747,2.096,1.582447376,0.8534,0.6913,0.3148,0.1221,178.816,192.786,127.508,0.4539,635.4222,0.8493,0.3181,1.512,1.8674,1.4719,41.697,7.102,95.758,0.6964,2.965014308,6.262459406,2.112638766,24.33333333,4,2.546874055,11.72302149,5.22916144,2.053903611,161.3,18,0.208826332,0.473182641,0.317991027,NA,1.573533473,14.4979375,0.1381125,5.55595,1.6290375,0.8737875,0.7707875,0.399725,0.05555,5.263875,5.3736875,3.530875,0.3068,15.3835875,0.8854875,0.4793875,1.5246375,1.5599,1.5488125,3.38005,0.3771625,2,39.8,44,48,21,186.782,44,25,58,30,34,16,46,23,3.485142857
