"ecotype","DTF","Darker.axillae","Days.to.budding","Disk.diameter","Disk.to.phyllaries.diameter.ratio","Distance.of.first.branching.from.ground","Flower.FHDD.ratio","Flower.head.diameter","Flowerhead.to.phyllaries.diameter.ratio","Internode.length","LIR","Leaf.C.N.ratio","Leaf.area","Leaf.circular","Leaf.curved.height","Leaf.curved.shape.index","Leaf.curvedHeight.maxWidth","Leaf.distal.eccentricity","Leaf.eccentricity","Leaf.eccentricity.area.index","Leaf.ellipsoid","Leaf.height.mid.width","Leaf.maximum.height","Leaf.maximum.width","Leaf.obovoid","Leaf.perimeter","Leaf.proximal.eccentricity","Leaf.rectangular","Leaf.shape.index.external.I","Leaf.shape.index.external.II","Leaf.shape.index.internal","Leaf.total.C","Leaf.total.N","Leaf.width.mid.height","Leaf.width.widest.pos","Ligule.LW.ratio","Ligule.length","Ligule.width","Ligules.number","Petiole.main.veins.colour","Phyllaries.LW.ratio","Phyllaries.diameter","Phyllaries.length","Phyllaries.width","Plant.height.at.flowering","Primary.branches","RGB.proportion.blue","RGB.proportion.green","RGB.proportion.red","SLA","Seed.HW.ratio","Seed.area","Seed.circular","Seed.curved.height","Seed.curved.shape.index","Seed.distal.eccentricity","Seed.eccentricity","Seed.eccentricity.area.index","Seed.ellipsoid","Seed.height.mid.width","Seed.maximum.height","Seed.maximum.width","Seed.ovoid","Seed.perimeter","Seed.proximal.eccentricity","Seed.rectangular","Seed.shape.index.external.I","Seed.shape.index.external.II","Seed.shape.index.internal","Seed.width.mid.height","Seed.width.widest.pos","Stem.colour","Stem.diameter.at.flowering","Stem.diameter.final.after.5th.node","Stem.diameter.final.before.1st.node","TLN","Total.RGB","Trichomes.density.center.average","Trichomes.density.edge.average","Trichomes.density.leaf.center.flat.area","Trichomes.density.leaf.center.secondary.veins","Trichomes.density.leaf.edge.flat.area","Trichomes.density.leaf.edge.secondary.veins","Trichomes.density.nonvein.average","Trichomes.density.vein.average","Trichomes.length"
"north american desert",63,"1",28,4.802481586,0.535706013,15.5,3.047646918,14.57814756,1.630972916,7.304,0.892857143,10.86601385,14422.6808,0.1701,203.3811,1.9286,1.598229525,0.9106,0.7428,0.3777,0.1219,167.132,184.912,127.254,0.5132,594.8838,0.897,0.3553,1.4531,1.718,1.6463,45.475,4.185,97.282,0.7221,3.215052371,5.063187033,1.587761026,33.33333333,2,2.346456767,8.967159609,3.386514551,1.443541204,182.6,28,0.194804458,0.489205284,0.315990258,22.98435187,1.894956225,7.0724875,0.1950125,4.3017875,2.0036875,0.780875,0.673175,0.464825,0.0571375,4.067975,4.1499875,2.270125,0.2693625,11.4403,0.8472375,0.4596,1.8327625,1.903125,1.606525,2.14445,0.364075,3,45.5,38.1358618187042,44.731593703959,25,176.151,40,37.5,50,30,44,31,47,30.5,3.948979592
"north american desert",75,"0",39,4.892354486,0.490671293,11,3.376219042,16.50137692,1.653905628,6.338235294,0.871794872,10.61236046,7569.5332,0.2356,164.3648,2.1425,1.843605447,0.8956,0.7559,0.3432,0.1303,146.558,150.114,89.154,0.5262,478.1982,0.9196,0.3299,1.6838,2.4553,2.0273,42.96,4.048,59.69,0.6917,2.839021735,5.923497104,2.088096033,24,1,4.630503721,9.989281436,4.835201216,1.046339673,215.5,36,0.217302536,0.470014575,0.312682889,23.77365955,1.936280593,8.8135,0.2003,4.8567,1.97635,0.8426375,0.7401625,0.4029,0.057,4.6698875,4.7215,2.5082625,0.2530875,12.6485625,0.8703625,0.4539375,1.882625,1.9400625,1.815525,2.407725,0.384025,0,41.4,37,44,34,179.754,76.5,49,77,76,52,46,64.5,61,3.170008163
"north american desert",58,"0",24,5.188758665,0.53647528,21,2.736846409,14.16854308,1.473722516,5.410344828,1.208333333,6.976882962,10469.7855,0.1548,162.1574,1.873,1.467620599,0.8607,0.684,0.4593,0.1135,133.858,156.21,110.49,0.4878,474.2183,0.8624,0.351,1.4138,1.5778,1.5789,44.075,6.317,84.836,0.7528,2.746497134,4.699704963,1.755502206,30,2,2.911282027,9.742956257,3.834745146,1.316312207,156.9,25,0.192670742,0.497412002,0.309917256,26.87316607,1.617595984,14.33925,0.141625,5.54245,1.6327,0.8734125,0.7839,0.3815875,0.0471875,5.3975,5.4252875,3.42635,0.2309,15.1691,0.88965,0.49025,1.5861125,1.614,1.59865,3.35095,0.4072625,0,32.6,29,39,29,166.538,39.5,44.5,44,35,63,26,53.5,30.5,3.945795918
"north american desert",48,"0",21,5.424124503,0.463794599,22,3.333871626,18.05850807,1.546871867,7.680952381,1,5.871204965,13795.4563,0.188,201.7747,2.096,1.582447376,0.8534,0.6913,0.3148,0.1221,178.816,192.786,127.508,0.4539,635.4222,0.8493,0.3181,1.512,1.8674,1.4719,41.697,7.102,95.758,0.6964,2.965014308,6.262459406,2.112638766,24.33333333,4,2.546874055,11.72302149,5.22916144,2.053903611,161.3,18,0.208826332,0.473182641,0.317991027,23.6831519602096,1.573533473,14.4979375,0.1381125,5.55595,1.6290375,0.8737875,0.7707875,0.399725,0.05555,5.263875,5.3736875,3.530875,0.3068,15.3835875,0.8854875,0.4793875,1.5246375,1.5599,1.5488125,3.38005,0.3771625,2,39.8,44,48,21,186.782,44,25,58,30,34,16,46,23,3.485142857
"north american desert",43,"1",18,4.751970411,0.483895953,28.5,3.697249561,17.56326195,1.790188307,6.6,0.888888889,6.737885314,10054.1089,0.1933,175.8873,2.0452,1.71828706,0.8696,0.694,0.4456,0.1033,144.526,161.29,102.362,0.5077,482.9159,0.8765,0.3297,1.5757,1.8355,1.76,43.26,6.42,78.74,0.7108,3.193355176,6.683982257,2.096900878,27.33333333,2,3.611149698,9.851783123,4.208585155,1.17069022,105.6,15,0.244697385,0.447117645,0.308184971,31.82687211,1.731382263,10.5794375,0.166475,4.988675,1.798675,0.8156375,0.705825,0.4316375,0.0478875,4.7797125,4.8233375,2.881325,0.2288125,13.758425,0.843875,0.4726125,1.681325,1.73015,1.514825,2.77415,0.399075,3,44.5,45,64,16,180.807,105.5,68.5,98,113,71,66,84.5,89.5,3.320987755
"north american desert",57,"1",21,5.15282144,0.470417789,29.5,3.098228491,15.96565461,1.457529062,8.166666667,0.857142857,6.225107159,17147.9012,0.1524,203.9055,1.8889,1.540839845,0.8388,0.727,0.4354,0.0985,178.816,196.596,132.334,0.4879,627.3615,0.9138,0.3959,1.4856,1.6487,1.6529,42.168,6.774,108.458,0.7183,3.43896797,5.703927347,1.6836454782959,29,3,2.46606419,10.95207328,4.045228349,1.641618358,147,16,0.237958611,0.449849411,0.312191978,24.924275,1.950936799,9.7740625,0.2066375,5.1335,2.008375,0.8124,0.7134875,0.41855,0.05775,4.9715375,5.012525,2.6313,0.249625,13.3982125,0.862175,0.44455,1.9045875,1.97695,1.76165,2.5148625,0.3788875,4,40.3,45,53,18,175.312,60,55,81,39,73,37,77,38,3.27597551
"north american desert",45,"0",20,4.086857662,0.411444698,12.5,3.381113639,13.76740295,1.380064797,7.741176471,0.85,6.75662305,8944.1757,0.1989,178.3863,1.6863,1.848179652,0.8705,0.7695,0.2487,0.1073,155.702,160.02,96.52,0.4052,509.406,0.9047,0.3037,1.6579,2.0033,1.7664,42.798,6.334,77.724,0.6593,3.062473776,5.011585521,1.642202494,22,3,4.033695074,10.05437245,4.8819421,1.226816574,131.6,15,0.24616442,0.445949257,0.307886322,17.12459449,2.101574446,8.559625,0.22055,4.98215,2.1056,0.8451,0.702825,0.4258875,0.0564125,4.7691375,4.8088125,2.370675,0.2334875,12.7549,0.80895,0.4577125,2.0323375,2.09935,1.82585,2.2754125,0.39665,0,33.1,35,41,17,167.315,53.5,59,45,62,55,63,50,62.5,3.162538776
"north american desert",51,"1",22,4.760274487,0.582257549,22,3.307878307,15.74520576,1.924942052,7.45,0.818181818,6.688398443,11065.4617,0.1633,174.995,1.8812,1.591124002,0.8868,0.7735,0.444,0.1079,151.892,157.226,109.982,0.5798,491.1417,0.8951,0.3795,1.4296,1.8746,1.8819,41.716,6.237,81.026,0.7771,2.958473604,5.661409905,1.915660097,24.33333333,4,2.295957552,8.179678073,3.021851628,1.331594481,134.1,15,0.208668084,0.477223364,0.314108552,25.58488254,1.846699932,10.0852875,0.1896,5.0888125,1.9191625,0.865975,0.76365,0.3923375,0.05795,4.86835,4.9437375,2.755625,0.287075,13.2677,0.8866625,0.4494625,1.7950625,1.8669,1.819875,2.610125,0.37115,2,32.4,43,43,18,171.272,63,54,54,72,76,32,65,52,3.147183673
"north american desert",45,"1",20,4.425226434,0.45438358,12,4.218345093,18.66732068,1.916355251,6.570588235,0.85,6.446933786,9216.8848,0.2079,166.5336,1.7977,1.767234756,0.8902,0.7068,0.3968,0.1,141.224,160.528,94.234,0.4191,480.7669,0.8849,0.3384,1.7035,1.9441,1.813,42.435,6.582,72.644,0.6677,4.143004931,7.030965808,1.709689866,22.33333333,2,3.634323727,9.7644396,4.27153074,1.181197988,111.7,15,0.22836378,0.456645469,0.314990751,29.72229861,2.144214855,9.77515,0.232575,5.3441875,2.2380875,0.8694,0.7786375,0.37965,0.063325,5.1752625,5.22685,2.492375,0.2596375,13.3868875,0.8887375,0.45305,2.1068875,2.187775,2.1494375,2.3733125,0.365275,3,29.3,39,43,17,182.726,39.5,40.5,49,30,53,28,51,29,4.538204082
"the great plains",61,"0",33,4.976963057,0.537598028,23,3.011382636,14.93055811,1.618656278,7.219047619,0.636363636,9.454296681,16726.4182,0.1406,209.9032,1.6773,1.400661951,0.8861,0.7703,0.3655,0.1273,178.308,184.912,149.86,0.5236,663.1002,0.8917,0.352,1.2339,1.4968,1.4973,44.528,4.71,119.126,0.717,3.818551458,5.03623193,1.32567024,24.66666667,3,3.597691477,9.300058113,4.138803483,1.156526208,151.6,19,0.234588634,0.462351189,0.303060177,14.60184915,1.841271642,10.2865875,0.1916625,5.0714375,1.9540375,0.866125,0.77275,0.397125,0.058325,4.8709625,4.9384625,2.7543125,0.3060625,13.3810375,0.889325,0.4687,1.8016875,1.8744875,1.8477,2.6088,0.3313375,1,32,34,38,21,147.083,59.5,33.5,65,54,41,26,53,40,4.711591837
"the great plains",73,"0",39,5.741289138,0.583137774,15.5,2.332446996,13.33735312,1.361588902,9.064,0.641025641,12.07252417,14019.9074,0.1924,242.161,2.4446,1.812528068,0.8747,0.5445,0.5685,0.1357,180.848,185.928,133.604,0.5204,829.3467,0.6317,0.342,1.3916,2.0941,1.3267,44.685,3.701,86.36,0.7064,3.655213681,3.934528643,1.076952029,38,3,3.722305629,9.903161786,4.087401908,1.087467081,226.6,24,0.220593445,0.468920477,0.310486078,11.72527172,1.890166883,10.7451,0.19615,5.293625,1.970775,0.848525,0.75305,0.39375,0.0559,5.1197,5.1646875,2.8006125,0.2542625,13.9253875,0.878675,0.454825,1.8514,1.91835,1.82565,2.6789125,0.3846,1,40.3,34,34,25,155.263,49.5,32,40,59,34,30,37,44.5,2.892538776
"the great plains",80,"0",44,5.339399821,0.542137448,6,2.786460519,14.89645329,1.510196733,9.75862069,0.659090909,10.93944325,12477.1363,0.1517,194.4051,1.8443,1.51559289,0.9071,0.7284,0.3698,0.1277,165.1,170.434,128.27,0.4719,567.9448,0.8531,0.3323,1.3287,1.715,1.5346,44.781,4.094,96.266,0.6981,3.834418075,4.724763062,1.275913221,33,2,4.129118414,9.872835667,4.479955315,1.10752218,283,29,0.230609385,0.448210554,0.321180061,13.0664324,1.933371648,9.1066875,0.202875,4.96195,2.0324125,0.8272625,0.72145,0.4101125,0.060175,4.7439875,4.8180625,2.566475,0.2880875,12.9777625,0.8612875,0.440775,1.880075,1.9433625,1.76455,2.447425,0.3621625,1,35.1,31,36,29,168.432,49.5,47.5,36,63,59,36,47.5,49.5,4.158122449
"the great plains",91,"1",45,4.408862129,0.520119052,19,2.605450858,11.48658518,1.354878848,7.237142857,0.777777778,15.88760925,13760.037,0.1942,233.9386,2.5293,2.028674252,0.8863,0.7528,0.3195,0.0919,191.262,202.692,115.316,0.288,694.9361,0.8798,0.3651,1.7577,1.9457,1.9481,43.97,2.768,98.298,0.6742,3.376597426,3.574667049,1.062782098,33.33333333,2,4.200235533,8.475127068,3.933408458,0.943402701,253.3,33,0.192560866,0.485495711,0.321943423,11.70170678,1.873064663,12.9073125,0.1956625,5.7661125,1.9507,0.8787125,0.7692375,0.3882625,0.0586375,5.589325,5.644875,3.0784375,0.28655,15.2662375,0.8703,0.457425,1.8359625,1.9275875,1.872925,2.9038,0.3629375,0,41.7,43,43,35,158.298,52.5,61,54,51,58,64,56,57.5,3.082873469
"the great plains",63,"0",33,5.459441801,0.599228731,13,2.547640138,13.89987366,1.526437594,7.930434783,0.696969697,7.323841263,11586.2994,0.1928,188.1645,2.1852,1.64258341,0.8841,0.7199,0.4273,0.122,157.48,175.26,114.554,0.4999,548.2226,0.8841,0.3343,1.5299,1.8731,1.8788,45.193,6.171,84.074,0.7101,3.44499522,4.420758368,1.262696544,32,2,3.003337449,9.122794783,3.368231449,1.119312293,182.4,18,0.250897295,0.439538728,0.309563977,19.10354394,1.965449383,8.917325,0.2077875,4.906425,2.0365375,0.86635,0.7663,0.386725,0.059075,4.7042875,4.7677875,2.4963375,0.2660875,12.6865875,0.8817875,0.4557125,1.915225,1.9681,1.9173625,2.3971375,0.381025,0,40.1,36.9440917503487,35,23,176.642,100,58,81,119,59,57,70,88,3.920326531
"the great plains",53,"1",26,5.268473015,0.599884354,23,2.488199566,13.1012961,1.492645271,5.926086957,0.884615385,7.567864726,8892.1758,0.1746,177.9564,1.5419,1.778212558,0.881,0.5686,0.4527,0.1081,136.144,155.702,100.076,0.4018,549.6506,0.722,0.3261,1.5558,1.6543,1.2609,43.249,5.715,82.296,0.6759,2.946677209,4.069211269,1.389524537,29.33333333,3,3.67205414,8.78723455,3.450492014,0.952716959,136.3,20,0.245763708,0.447178547,0.307057745,17.96762134,1.8874908904832,9.98304845881434,0.194080415535101,5.03344398141722,1.95668605600861,0.85129059014906,0.75324947798224,0.404328912329856,0.0570135575625086,4.85592943653585,4.90125510725381,2.67891092669487,0.274694897515467,13.2685343254816,0.876469846474827,0.468598067746004,1.84179532260838,1.91256506781771,1.81417858601894,2.55747034201788,0.366577119365841,1,33.9,32,43,23,170.196,49.5,71,72,27,112,30,92,28.5,3.752816327
"north american desert",48,"0",20,4.420324265,0.544018536,14,3.388633704,14.96689418,1.843230058,4.942857143,1.05,6.351982553,6975.1473,0.1684,132.8461,1.8654,1.524828402,0.8836,0.7977,0.309,0.0984,128.778,130.81,87.122,0.4325,384.1623,0.9011,0.3402,1.5015,1.8172,1.7672,42.188,6.642,70.866,0.7276,3.605273325,5.297663593,1.469705675,21,4,4.404297362,8.125786653,3.710935507,0.855943315,103.8,17,0.191463805,0.476067024,0.33246917,14.07698749,2.127705699,8.111075,0.231325,4.85835,2.242575,0.81735,0.7356,0.418175,0.062075,4.7096,4.730725,2.283375,0.27215,12.365,0.886325,0.45875,2.072125,2.17385,2.007325,2.166925,0.37385,0,30.6,38,44,21,199.808,28,43.5,9,47,42,45,25.5,46,4.347918367
"north american desert",61,"0",24,5.107772428,0.630027264,18,2.62767766,13.42458693,1.655687951,6.486363636,0.916666667,7.406722941,10993.4619,0.1536,163.9835,1.7554,1.44430499,0.8916,0.7124,0.4373,0.1056,139.954,155.702,113.538,0.5496,484.5183,0.8532,0.3642,1.3714,1.6017,1.5571,41.644,5.622,87.376,0.7653,2.936304151,4.314760359,1.469830388,26.33333333,4,3.15610785,8.099811393,3.309156445,1.049796479,142.7,15,0.229833566,0.457888401,0.312278033,14.97338859,1.88167103943356,10.1261349997133,0.192977968751411,5.06151554144849,1.94981568549551,0.851202953276507,0.753264744987469,0.403600586347925,0.0568572018414009,4.88540322093726,4.93108684966688,2.70269650646068,0.274156589137132,13.3504754019089,0.876678391755431,0.467997783329396,1.83692336952352,1.90674465017615,1.80881628627002,2.58104457119353,0.367397418213949,0,30.4,28,30,22,166.973,66,57.5,82,50,99,16,90.5,33,6.432979592
"north american desert",44,"1",13,3.762437088,0.470788796,7.5,3.34773484,12.57868372,1.57571918,5.022222222,1.384615385,6.314316437,6095.5362,0.1295,126.5552,1.6815,1.48288339,0.8698,0.5996,0.4534,0.0813,108.458,116.332,85.344,0.2494,381.4766,0.7117,0.3609,1.3631,1.4878,1.1417,43.062,6.82,72.898,0.6573,2.897467064,4.701699831,1.630419379,20.5,3,3.497182983,7.989630862,3.679203028,1.057030376,90.4,14,0.233732481,0.45299961,0.313267909,45.31997175,2.073603464,8.730075,0.2241,4.956975,2.196725,0.80995,0.7185875,0.439025,0.062375,4.7426625,4.815425,2.3905125,0.307075,12.8316875,0.877,0.466,2.0163375,2.103575,1.9104875,2.2569,0.3439125,1,29,38,47,18,166.605,49.5,47.5,68,31,53,42,60.5,36.5,3.30242449
"north american desert",51,"1",26,5.089501653,0.524649299,20.5,3.059105838,15.57017838,1.605606661,7.431578947,0.730769231,7.004803358,16475.838,0.1457,228.2163,1.741,1.698467618,0.7496,0.5714,0.4127,0.0885,176.53,195.834,134.366,0.2997,691.8138,0.7143,0.358,1.4575,1.5868,1.0138,42.793,6.109,111.252,0.6527,2.993518256,5.258242993,1.766940276,30,3,3.824439135,9.711507055,4.304781993,1.127449585,141.2,16,0.229459204,0.455028688,0.315512108,20.49233582,1.710954284,11.9229625,0.1678875,5.2761125,1.7767375,0.87705,0.77435,0.386125,0.054775,5.0575125,5.1368875,3.083725,0.2894125,14.3052875,0.8835,0.4565125,1.66915,1.7154,1.6938625,2.9540875,0.3731125,4,32.8,39,43,19,175.334,38,20.5,43,33,24,17,33.5,25,3.528220408
"north american desert",68,"1",35,4.745793392,0.538295631,26,3.072980356,14.58887243,1.693668221,6.846875,0.914285714,7.969891555,8680.9504,0.1882,157.6431,1.7043,1.758192991,0.8842,0.6233,0.4761,0.0907,138.938,152.654,89.662,0.3732,452.3233,0.7633,0.3843,1.7025,1.8993,1.5583,42.761,5.365,73.152,0.6819,3.307005013,4.882736841,1.48809032,34,3,3.09341278339259,8.988954869,3.34141708533503,1.10143218829788,219.1,29,0.216762515,0.46665641,0.316581075,53.02962981,1.87526332517153,10.0179883266339,0.192028694816987,5.033137870472,1.94167023258043,0.850565424137409,0.752668127201989,0.403648763223799,0.0565860193698449,4.85456154045256,4.90063603260192,2.69498380516342,0.272088265047309,13.2778317254602,0.87682977362052,0.467146525390827,1.82953422276436,1.89827993318937,1.80138479919754,2.57414355326583,0.368687959217547,0,47.7,37,37,32,188.492,64,58,82,46,62,54,72,50,2.668040816
"north american desert",56,"1",28,5.490045931,0.570477867,25,3.237402376,18.58164399,1.848142095,6.740909091,0.785714286,6.731750845,12145.9757,0.1429,177.156,1.8247,1.596028757,0.882,0.7618,0.3715,0.0836,156.464,162.306,110.998,0.4266,527.6429,0.8804,0.4194,1.4622,1.6649,1.5677,42.664,6.338,93.98,0.688,4.415778052,6.548507029,1.389132672,24,3,2.639582568,10.04650383,3.395592446,1.282493977,148.3,16,0.226703894,0.459746904,0.313549203,27.51070374,1.912372482,10.4271125,0.202925,5.2090875,1.9905625,0.8792375,0.7770125,0.3850625,0.06085,5.07075,5.1038125,2.7238875,0.286425,13.4975875,0.876975,0.4514625,1.8783875,1.9660375,1.922275,2.5863,0.3473625,0,31,32,34,22,170.844,57.5,49,80,35,59,39,69.5,37,3.697469388
"north american desert",47,"1",24,4.448433283,0.499853391,21.5,3.240159975,14.41022654,1.618998995,6.575,0.833333333,7.419717713,15009.5829,0.1858,208.853,2.0664,1.698875838,0.887,0.6953,0.4231,0.1014,172.72,195.326,122.936,0.4191,610.9144,0.8585,0.3643,1.5888,1.7043,1.6688,43.238,5.827,101.346,0.6507,3.300772837,5.065935911,1.540653483,31,4,4.176408208,8.891920131,3.779443075,0.91377005,131.5,20,0.216979009,0.463633946,0.319387045,25.80739838,2.15095957,10.49295,0.236025,5.58295,2.2287375,0.8587875,0.748875,0.392075,0.0636125,5.462325,5.4927625,2.5955625,0.2640875,14.14325,0.86185,0.4402125,2.116225,2.2214875,2.0766,2.4593,0.3696125,3,33.2,40,52,20,195.512,53,60,64,42,66,54,65,48,3.669061224
"north american desert",51,"1",26,4.42598542,0.57000376,13,3.153393628,13.97291076,1.795375412,6.78,0.769230769,8.209358514,9262.175,0.2154,179.9379,2.4344,1.93556538,0.8906,0.6909,0.4212,0.0915,165.354,167.894,92.964,0.3404,486.0181,0.7716,0.3413,1.806,2.2448,1.9655,43.175,5.259,73.66,0.7166,2.659912566,4.820076588,1.81520222,23.33333333,3,2.988990169,7.779406101,3.318795478,1.120182769,135.6,18,0.194917703,0.475531529,0.329550768,22.77957452,1.89484864779109,10.1789074935798,0.195548930524373,5.08687863546951,1.96445816484724,0.851501298541645,0.753713706121929,0.404209201033313,0.057278520217669,4.91174902585036,4.95786950374466,2.69848471702945,0.275575186153414,13.3971903881879,0.876885257197156,0.468644334426136,1.85095181494091,1.92246951593038,1.82473450255663,2.57520536129639,0.366067745301418,0,35.1,38,46,20,190.347,63.5,40,68,59,37,43,52.5,51,3.793469388
"north american desert",39,"0",18,4.172229358,0.587705812,9,3.841421736,15.82608923,2.239773167,5.293333333,0.833333333,6.353905682,5866.6979,0.1638,135.5884,1.9993,1.700040122,0.8624,0.5863,0.4544,0.0988,113.792,122.428,79.756,0.352,377.1436,0.698,0.3276,1.535,1.7165,1.2589,42.145,6.633,66.294,0.6551,3.77714431,5.905300115,1.572949443,21.5,0,3.58650785,7.100376781,3.007300923,0.842683279,79.4,12,0.205169645,0.469059603,0.325770752,20.84084512,1.916321022,10.316525,0.1984375,5.1919125,1.9850875,0.8665625,0.7780375,0.3809625,0.0571625,5.05355,5.0733875,2.7093125,0.2890625,13.3989875,0.8903375,0.4635125,1.8755625,1.94595,1.9132,2.6008625,0.3673375,0,15.4,21,28,15,194.907,69,39,74,64,45,33,59.5,48.5,3.342685714
"north american desert",40,"1",13,3.712853836,0.440097166,25.5,3.7387189,13.80500094,1.638858765,5.326666667,1.153846154,6.949067459,4230.5077,0.2343,120.6802,2.5543,1.877940307,0.9062,0.7699,0.3685,0.1185,108.458,111.76,64.262,0.5374,342.5978,0.9062,0.3326,1.7391,2.4124,2.1667,41.502,5.972,44.958,0.7269,3.265091604,5.243608714,1.610864065,20.66666667,4,3.863032173,8.423992213,3.905957707,1.010774928,79.9,12,0.222131139,0.462418152,0.315450709,23.07969285,1.888599078,12.8270125,0.2034375,5.683975,1.9835625,0.853975,0.755725,0.41075,0.0593125,5.5615625,5.5840375,3.009625,0.2805875,15.0603625,0.872375,0.467875,1.858175,1.954575,1.8466125,2.8508875,0.354475,3,18,37,46,15,197.622,97,78,105,89,93,63,99,76,3.858857143
"north american desert",44,"0",20,4.553660934,0.521272877,14.0386463452429,3.322398977,15.0792652,1.72578177,7.229411765,0.85,7.291513796,10451.721,0.1217,154.024,1.5071,1.284732417,0.8555,0.5441,0.5051,0.1116,130.556,141.224,119.888,0.3583,501.8824,0.755,0.362,1.178,1.3562,0.8935,43.96,6.029,96.266,0.6161,2.297630274,5.30430353,2.281262303,22.25,2,3.07506281,8.732396086,3.690324626,1.205160715,122.9,16,0.229620047,0.459731342,0.310648611,27.94577807,1.88617414351835,10.0168408496573,0.193488531276186,5.03611129349872,1.9566359212041,0.850644365171547,0.752934542580125,0.404734513503919,0.0569955394176229,4.85740340323506,4.90396694612588,2.6839122318545,0.276448710443093,13.2841911616785,0.876984536400553,0.469210220120024,1.84058438262882,1.9107239480427,1.81127693820622,2.56231515388779,0.366190782085721,3,26.4,37.0506150568239,43.447423815581,17,183.207,38,31.5,42,34,39,24,40.5,29,4.413061224
"north american desert",30,"0",10,2.930806535,0.545368529,14,4.467591844,13.00498577,2.433915324,4.016666667,1.2,8.974633756,5256.5056,0.1389,121.5551,1.8265,1.595211286,0.8951,0.6954,0.4129,0.0961,100.584,106.172,76.2,0.4623,321.2873,0.788,0.3545,1.3933,1.5777,1.381,38.304,4.268,63.754,0.7009,2.889529367,5.175813315,1.792125441,14.66666667,0,2.710542092,5.35351665,2.189668374,0.809842373,48.2,9,0.205151348,0.466855647,0.327993005,23.90407276,1.807102557,11.639475,0.181775,5.3048625,1.8807625,0.8504625,0.751275,0.410925,0.052475,5.14615,5.181875,2.9355625,0.270875,14.2378375,0.872075,0.4848625,1.7672375,1.8276875,1.731,2.819125,0.3797875,0,14.8,30,42,12,212.721,82,58,85,79,82,34,83.5,56.5,4.040326531
"north american desert",46,"1",22,4.133741296,0.594396679,25,3.616900891,14.91581587,2.144549076,7.06,0.681818182,7.064599594,6992.8892,0.2167,159.9486,2.4265,2.156571567,0.881,0.7642,0.3115,0.075,141.224,147.828,74.168,0.3039,436.5497,0.9043,0.4034,1.9932,2.0746,2.0748,41.599,5.888,68.072,0.732,3.185991139,5.341309108,1.690872009,20.33333333,4,2.695466219,6.815168823,2.735426536,1.018187514,105.9,12,0.240095919,0.447609207,0.312294874,14.25665484,1.966150229,13.494925,0.2090125,6.04225,2.0434625,0.8751875,0.775825,0.3797,0.0591375,5.860525,5.8949375,3.0731375,0.2882125,15.6859,0.877475,0.4582625,1.9246625,2.0168125,1.9633,2.914375,0.3633,1,22.2,29,34,15,180.986,57.0853946130718,51.4449544718298,62.3956238577873,51.7751653682524,62.8856822736268,40.0042266699289,62.6406530657071,45.8896960190907,4.413306122
"north american desert",92,"1",62,3.29319189,0.600930411,7,3.144823546,10.35096239,1.891896888,5.422222222,0.725806452,10.52428291,9925.7866,0.1725,167.7383,1.9951,1.426321831,0.8927,0.7979,0.4291,0.1444,148.59,148.59,117.602,0.6672,511.1896,0.9283,0.318,1.2635,1.9371,1.9417,40.398,3.839,76.708,0.8359,2.201127745,3.667567057,1.740469949,20.8,2,1.987131914,5.495739812,2.089059768,1.054183398,244,45,0.20173733,0.483424333,0.314838337,17.58021006,1.88369185870017,9.39068431074152,0.192433062628304,4.86513354161687,1.95135965898983,0.846904771026347,0.749868836413218,0.409116327868189,0.0564032593061622,4.68333785531756,4.72607005784941,2.59409547741623,0.274293563437269,12.8557557623588,0.876466082643185,0.474878510958391,1.8338956455594,1.90327462033066,1.79515653580288,2.47847364564915,0.367390170821132,0,47.8,36,52,45,166.117,31,35,25,37,40,30,32.5,33.5,2.340465306
"north american desert",72,"1",46,3.72559066,0.474797966,7.5,3.387356175,12.61064854,1.607699006,7.190322581,0.673913043,9.450467718,14213.1974,0.1519,191.1976,1.2684,1.484707015,0.8951,0.6761,0.4342,0.1137,151.892,179.832,128.778,0.4393,628.5668,0.9122,0.372,1.3964,1.4375,1.4398,43.56,4.609,105.664,0.7373,2.991756127,4.532923776,1.52702596,23.33333333,3,3.702363401,7.8429547,3.482054798,0.945649828,222.9,31,0.233690541,0.455161342,0.311148116,16.07282302,1.87534639067809,9.98542022185687,0.191642014942943,5.02434737018338,1.94288195056975,0.850272090761883,0.752180104178601,0.404088810275624,0.0565773519870478,4.8427769501169,4.8900905861231,2.69278496488492,0.273116474143664,13.2607953664837,0.876761900904502,0.467475120914756,1.82891528455179,1.89718558602172,1.79918621451547,2.57245466375031,0.368110661959575,1,42.7,40,50,31,166.943,72,59.5,84,60,83,36,83.5,48,3.780979592
