"","c_gbm.byClass"
"Sensitivity",0.837209302325581
"Specificity",0.76
"Pos Pred Value",0.857142857142857
"Neg Pred Value",0.730769230769231
"Precision",0.857142857142857
"Recall",0.837209302325581
"F1",0.847058823529412
"Prevalence",0.632352941176471
"Detection Rate",0.529411764705882
"Detection Prevalence",0.617647058823529
"Balanced Accuracy",0.798604651162791
