"Ecoregions","Total.RGB","Primary.branches","RGB.proportion.red","Total_Leaf_Number","Phyllaries.length","Leaf.total.N","Specific_Leaf_Area","Leaf.C.N.ratio","Seed.rectangular","Leaf.shape.index.external.I","Seed.maximum.height","Seed.curved.height","Seed.proximal.eccentricity","Ligule.width","Seed.area","Seed.height.mid.width","Seed.perimeter","Flower.FHDD.ratio","Days.to.budding","Disk.diameter","Leaf.shape.index.internal","Phyllaries.diameter","Seed.width.mid.height","Phyllaries.width","Seed.maximum.width","Flower.head.diameter","Seed.ellipsoid","Ligules.number","Stem.colour","RGB.proportion.blue","Stem.diameter.at.flowering","Plant.height.at.flowering","Distance.of.first.branching.from.ground","Days_to_flowering"
"NORTH AMERICAN DESERTS",194.001,18,0.321018964,18,2.630696561,5.99,26.06667764,6.97855625,0.49495,1.8994,4.3603125,4.5187875,0.8586875,1.456107156,7.7208875,4.3166875,11.88015,3.306116419,26,3.700973268,2.1333,6.883492419,2.1907625,0.940849758,2.2754375,12.21728838,0.0575625,21,2,0.214880336,29.1,117.4,2.5,50
"NORTH AMERICAN DESERTS",205.076,17,0.32159297,18,2.430411455,5.901,23.63179399,7.03472459,0.4686625,1.4744,4.0018375,4.123175,0.8578625,1.448474155,8.10205,3.9753625,11.515025,3.454844162,32,3.254530046,1.6417,5.807171954,2.598225,0.865479118,2.68815,11.16956065,0.045375,23,3,0.209083462,24.7,99.7,5,48
"NORTH AMERICAN DESERTS",187.984,15,0.332086773,20,1.952468508,6.705,24.59742842,5.847883524,0.473324704963201,1.7094,4.94085115669917,5.06857786760183,0.875995435305006,0.901473924,10.3136222312521,4.89087707695222,13.454169506293,2.876077631,24,2.314148355,1.9798,4.561063905,2.60712449298713,0.494595393,2.73144421392345,6.667952561,0.0565944253328234,20.66666667,4,0.169083539,23,100.4,13,52
"NORTH AMERICAN DESERTS",172.094,20,0.310731344,20,3.016510282,5.892,21.36211833,7.096833895,0.471702577265398,1.6781,4.97190351049051,5.09783172590813,0.876216858057045,1.294408923,10.3788891744205,4.92066222112684,13.5122162408405,3.297290942,26,3.903326013,2.1792,7.131286239,2.61026602054959,0.976014302,2.7362534776401,12.87001605,0.0569155876291028,23,2,0.221559148,34.1,119.2,8,52
"NORTH AMERICAN DESERTS",172.675,17,0.316675836,21,2.544139448,4.924,20.3642061,8.117854906,0.491,1.7716,4.3351875,4.487725,0.8831875,1.668495485,8.0072125,4.2849375,11.783075,3.098364833,26,3.795906683,2.0985,6.077477001,2.2741,0.781226479,2.3746375,11.76009082,0.05485,25,2,0.207702331,27.8,109.1,15,50
"NORTH AMERICAN DESERTS",175.909,20,0.316100939,19,2.258798727,5.361,22.17183228,7.212438791,0.48,1.9014,4.914625,5.022075,0.874425,1.313327125,9.4195125,4.8498125,13.155975,3.430531642,26,3.520305445,2.4018,5.612178462,2.3839,0.771782324,2.50825,12.06942736,0.0587625,20.66666667,3,0.222694689,27,99.7,2.5,50
"NORTH AMERICAN DESERTS",182.141,13,0.317342059,16,2.174804453,6.411,20.24304919,6.435387273,0.473066153201587,1.6649,4.96734110914256,5.09419218856268,0.876052286530956,1.446026922,10.4113767248797,4.91733272862001,13.5272698869251,3.027946268,20,3.859161084,2.0818,5.464235868,2.61617122703043,0.683070812,2.74297347207233,11.5864912,0.0567862909125507,18.66666667,3,0.232687863,27.6,82.6,6.5,44
"NORTH AMERICAN DESERTS",184.295,20.9251757737548,0.31466399,18,2.382578786,5.764,24.47399929,7.129859633,0.472338367499119,1.6156,4.94548087896719,5.07330663261571,0.87614424731789,1.254241132,10.2412167448373,4.89540690580364,13.4382451526834,2.895592353,24,3.73594727,1.6786,6.084333782,2.58486525794402,0.640944521,2.71102819193774,10.81778035,0.0571406233544208,30,4,0.221568681,23,118.3,13.84418208041,50
"NORTH AMERICAN DESERTS",170.279,17,0.307982781,19,5.154241352,5.77,20.92040601,7.33005201,0.46525,1.5063,5.4438,5.583275,0.8854375,2.105456525,14.4987875,5.3366375,15.5361875,3.302554283,27,6.77474599,1.6628,12.30885812,3.4634,1.800634226,3.569225,22.24733696,0.0468375,31,1,0.240235143,36.4,136.4,20.5,55
"NORTH AMERICAN DESERTS",165.112,28,0.30598624,28,4.226612359,5.245,15.5567462,8.308900025,0.467773738620999,1.711,5.05558372126274,5.18050047048588,0.87589941223501,2.012549579,10.6972631634746,5.00624395825106,13.7123273907386,3.280174531,42,6.442635121,1.8284,12.49513973,2.66606094455601,1.644514553,2.78602160590573,21.13971169,0.0558816566308532,32,1,0.244270556,35.8,212.4,13.5,72
"NORTH AMERICAN DESERTS",183.294,24,0.315962334,28,3.596298645,4.816,25.91837494,8.929239719,0.468540403864706,1.2845,5.10495335653392,5.22777121163543,0.877327718097059,1.658291006,10.9961634961791,5.05437236793888,13.8734775963112,2.61846641,37,5.89712395,1.3581,12.25297783,2.71164518735648,1.323363177,2.83543301849169,15.29901001,0.0561327812794474,33,1,0.228927297,41,198.3,17,69
"NORTH AMERICAN DESERTS",175.572,20,0.313945276,22,4.344117157,5.867,22.42035063,7.20249558,0.46849234064231,1.4148,5.13355109656945,5.25459470356156,0.877513814727612,2.036269055,11.2038064299854,5.08080198887233,13.9907597575689,2.937307486,28,6.13100741,1.8662,11.19524983,2.74489497270546,1.600889536,2.87305509241585,18.00516813,0.0561629139397535,30,1,0.226374365,33,162.1,9.5,55
"NORTH AMERICAN DESERTS",162.205,35,0.310298696,37,4.268450594,4.189,21.8300471945074,10.62981953,0.463633333,1.46220700438887,5.746733333,5.868883333,0.88025,1.859533144,14.35496667,5.713216667,15.99411667,2.693294574,51,6.35000905,1.49511177981529,12.66668119,3.15915,1.776929831,3.34435,17.09875689,0.0588,27.5,1,0.268364107,38.4,192.104394620331,23,83
"NORTH AMERICAN DESERTS",132.282,23,0.322840598,25,4.829668829,4.988,22.83284957,8.808360492,0.45652,1.2517,6.01346,6.16192,0.84238,1.901070729,13.8433,5.87162,16.16718,3.468862353,38,5.193018727,1.3986,11.7456189,2.93794,1.661871695,3.03954,17.99253601,0.05554,25.33333333,1,0.117733327,35,204.9,12.5,66
"NORTH AMERICAN DESERTS",174.864903556793,19,0.314260623233304,22,4.691333742,5.306,27.99208306,8.083546073,0.468768880858653,1.2481,5.18665626360462,5.30617308348744,0.878102333117515,2.3466278,11.3503794708814,5.13402480563952,14.0935136981195,2.853468177,32,6.576390125,1.2757,12.34039159,2.75483065685213,1.811138759,2.88162409646438,18.75727119,0.0561504146893453,28.33333333,3,0.222504100492923,39.6,167.5,23,67
"NORTH AMERICAN DESERTS",172.147,17,0.312639779,20,3.828413248,6.833,24.76824075,6.306131223,0.4700381253831,1.48,5.14310134632474,5.26259689703726,0.877870085814496,2.237911185,11.1820536629101,5.08941288508345,13.9907077805115,3.019116193,32,5.678185057,1.3728,10.43278436,2.73079067401383,1.704054343,2.86015989046129,17.13278904,0.056556245228597,27,0,0.228612755,30.6,136.4,22.5,52
"NORTH AMERICAN DESERTS",178.801,29,0.309617955,30,4.149720257,3.907,21.58274681,7.866616914,0.44805,1.2729,4.856425,5.0148875,0.8764375,1.845044676,9.6477625,4.820725,13.2540375,3.235963071,39,4.968356613,1.3923,8.564716876,2.5267875,1.307244193,2.7014125,16.0871783,0.0609375,32.66666667,1,0.246889,47.1,220.1,9.5,70
"NORTH AMERICAN DESERTS",201.656,18,0.316583687,17,3.737697575,7.117,49.11516022,6.021384225,0.470101409339611,1.7733,5.09387761900544,5.21615526669023,0.876307755791453,2.010353217,10.8789502777097,5.04110155602601,13.8431504436549,3.686129989,24,4.478264203,2.1957,8.853107377,2.67620058038235,1.044222862,2.80487780913104,17.22286921,0.0569661243440607,18.5,0,0.215882493,44.3,103.7,10,50
"NORTH AMERICAN DESERTS",190.926,20,0.313121314,22,3.349131475,6.022,32.13989977,7.148584709,0.4713662067527,1.3995,5.03574475263381,5.15993429827287,0.877673121977337,1.849101112,10.7672532990154,4.98533407773594,13.7186750679592,3.962362689,35,3.58449291,1.6349,7.765966837,2.67780727687727,0.89566382,2.80435785438468,14.20582224,0.0564187257643788,20.33333333,2,0.224505829,42.8,173.6,20,61
"NORTH AMERICAN DESERTS",188.787,26,0.286169069,27,3.38524342619452,5.596,21.9349704,7.839126742,0.46873329324273,1.5676,5.01656584926718,5.14475917468863,0.876775098481585,1.66839661783149,10.5199518288397,4.96712947162617,13.6112525858087,3.30626082549303,32,4.62336697075429,1.399,8.54956964773192,2.63338148211282,1.13434192845746,2.75809571679189,15.0684995762919,0.0565678431235766,33.5,1,0.100547178,41.1,269,16,64.3227979917044
"NORTH AMERICAN DESERTS",176.151,28,0.315990258,25,3.386514551,4.185,22.98435187,10.86601385,0.4596,1.4531,4.1499875,4.3017875,0.8472375,1.587761026,7.0724875,4.067975,11.4403,3.047646918,28,4.802481586,1.6463,8.967159609,2.14445,1.443541204,2.270125,14.57814756,0.0571375,33.33333333,3,0.194804458,45.5,182.6,15.5,63
"NORTH AMERICAN DESERTS",179.754,36,0.312682889,34,4.835201216,4.048,23.77365955,10.61236046,0.4539375,1.6838,4.7215,4.8567,0.8703625,2.088096033,8.8135,4.6698875,12.6485625,3.376219042,39,4.892354486,2.0273,9.989281436,2.407725,1.046339673,2.5082625,16.50137692,0.057,24,0,0.217302536,41.4,215.5,11,75
"NORTH AMERICAN DESERTS",189.659,20,0.322315313,22,3.280497834,6.125,21.44442966,6.850989349,0.469699059358297,1.4623,5.10765077846649,5.2286594043406,0.877321017924614,2.010722443,11.0192856510623,5.05639702181443,13.8927084547859,2.683073457,34,4.777380311,1.6544,9.216943622,2.71024934602459,1.547998907,2.83671921574259,12.83662302,0.0564009017077214,20.33333333,1,0.207177092,30.4,107.4,13,58
"NORTH AMERICAN DESERTS",172.702,28,0.306012669,30,7.203023422,5.192,17.29774762,8.343434296,0.44565,1.6027,6.0563375,6.1529,0.868075,2.125257402,12.655475,6.0126625,15.7709375,3.305094096,46,4.985292057,1.9577,14.63667057,2.6643625,1.518593943,2.8522125,16.49679999,0.0660375,23,3,0.240616785,47.6,256.1,21,74
"NORTH AMERICAN DESERTS",166.538,25,0.309917256,29,3.834745146,6.317,26.87316607,6.976882962,0.49025,1.4138,5.4252875,5.54245,0.88965,1.755502206,14.33925,5.3975,15.1691,2.736846409,24,5.188758665,1.5789,9.742956257,3.35095,1.316312207,3.42635,14.16854308,0.0471875,30,0,0.192670742,32.6,156.9,21,58
"NORTH AMERICAN DESERTS",166.46,22,0.307887781,25,4.530311384,6.924,21.20980665,6.047834296,0.451675,1.2914,5.68325,5.7595375,0.8846375,2.266001888,12.85405,5.6382625,15.0262,3.468024522,30,5.104860872,1.3944,10.38277951,2.932925,1.705405299,3.0599125,17.7147576,0.05605,19,0,0.246431575,40.4,133.7,21,51
