"","latitude","longitude","sitename","individual_id","population_id","genotype_id","Predicted","Actual","Outcome"
"40",37.13733,-113.51348,"Utah","ANN1058","ANN_26","ANN1058","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"41",37.13137,-112.56561,"Utah","ANN1061","ANN_27","ANN1061","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"42",37.13137,-112.56561,"Utah","ANN1062","ANN_27","ANN1062","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"43",37.13137,-112.56561,"Utah","ANN1063","ANN_27","ANN1063","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"44",38.21652,-112.64767,"Utah","ANN1071","ANN_28","ANN1071","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"45",38.21652,-112.64767,"Utah","ANN1074","ANN_28","ANN1074","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"46",38.21652,-112.64767,"Utah","ANN1075","ANN_28","ANN1075","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"47",38.21652,-112.64767,"Utah","ANN1077","ANN_28","ANN1077","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"48",38.21652,-112.64767,"Utah","ANN1079","ANN_28","ANN1079","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"49",39.55006,-112.35661,"Utah","ANN1086","ANN_29","ANN1086","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"50",39.55006,-112.35661,"Utah","ANN1089","ANN_29","ANN1089","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"51",39.7148,-112.20662,"Utah","ANN1095","ANN_30","ANN1095","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"52",39.7148,-112.20662,"Utah","ANN1096","ANN_30","ANN1096","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"53",39.7148,-112.20662,"Utah","ANN1097","ANN_30","ANN1097","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"54",40.1781,-111.65071,"Utah","ANN1102","ANN_31","ANN1102","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"55",40.1781,-111.65071,"Utah","ANN1103","ANN_31","ANN1103","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"56",40.1781,-111.65071,"Utah","ANN1107","ANN_31","ANN1107","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"57",40.1781,-111.65071,"Utah","ANN1108","ANN_31","ANN1108","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"58",41.48524,-112.0556,"Utah","ANN1115","ANN_32","ANN1115","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"59",41.48524,-112.0556,"Utah","ANN1116","ANN_32","ANN1116","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"60",41.48524,-112.0556,"Utah","ANN1120","ANN_32","ANN1120","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"61",40.77115,-112.15004,"Utah","ANN1126","ANN_33","ANN1126","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"62",40.77115,-112.15004,"Utah","ANN1127","ANN_33","ANN1127","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"63",40.69149,-112.26423,"Utah","ANN1131","ANN_34","ANN1131","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"64",40.69149,-112.26423,"Utah","ANN1132","ANN_34","ANN1132","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
