"","c_rf.byClass"
"Sensitivity",0.672727272727273
"Specificity",0.880952380952381
"Pos Pred Value",0.787234042553192
"Neg Pred Value",0.804347826086957
"Precision",0.787234042553192
"Recall",0.672727272727273
"F1",0.725490196078431
"Prevalence",0.39568345323741
"Detection Rate",0.266187050359712
"Detection Prevalence",0.338129496402878
"Balanced Accuracy",0.776839826839827
