"Ecoregions","Total.RGB","Primary.branches","RGB.proportion.red","Total_Leaf_Number","Phyllaries.length","Leaf.total.N","Specific_Leaf_Area","Leaf.C.N.ratio","Seed.rectangular","Leaf.shape.index.external.I","Seed.maximum.height","Seed.curved.height","Seed.proximal.eccentricity","Ligule.width","Seed.area","Seed.height.mid.width","Seed.perimeter","Flower.FHDD.ratio","Days.to.budding","Disk.diameter","Leaf.shape.index.internal","Phyllaries.diameter","Seed.width.mid.height","Phyllaries.width","Seed.maximum.width","Flower.head.diameter","Seed.ellipsoid","Ligules.number","Stem.colour","RGB.proportion.blue","Stem.diameter.at.flowering","Plant.height.at.flowering","Seed.eccentricity.area.index","Leaf.ellipsoid","Seed.shape.index.internal","Distance.of.first.branching.from.ground","Days_to_flowering","Seed.distal.eccentricity","RGB.proportion.green","Darker.axillae","Seed.eccentricity","Disk.to.phyllaries.diameter.ratio","Seed.width.widest.pos","Leaf.height.mid.width","Leaf.curvedHeight.maxWidth","Leaf.perimeter","Seed.shape.index.external.II","Stem.diameter.final.after.5th.node","Leaf.distal.eccentricity","Ligule.length","Leaf.proximal.eccentricity"
"NORTH AMERICAN DESERTS",197.243,17,0.321512044,17,2.889560265,6.506,26.57084777,6.493869319,0.45805,1.8924,4.644775,4.770425,0.8815375,1.387237796,8.932475,4.5945,12.6039,3.712118392,24,3.750170089,2.63,6.673000705,2.4235875,0.891453467,2.5571875,13.92633413,0.057575,22.66666667,3,0.205203733,33.5,98.2,0.4104,0.1183,1.7865625,9,50,0.8396125,0.473284223,"1",0.7469625,0.562092197,0.35725,162.306,1.929394838,498.0899,1.9010875,32,0.9212,5.101242999,0.89
"NORTH AMERICAN DESERTS",212.838,16,0.328855749,17,3.273842049,5.949,27.39088058,6.946699035,0.4895,1.9691,4.4489625,4.59425,0.88825,1.55988387,7.6707875,4.4000375,11.7857625,3.368187072,20,3.66046029,1.701,7.186236792,2.1113875,0.755089596,2.2132375,12.20360217,0.0622,21,0,0.199635403,22,91.7,0.4165875,0.0962,2.00655,8.5,47,0.84855,0.471508847,"0",0.7590625,0.508762376,0.3499125,125.222,2.228295046,464.9541,2.099275,30,0.8707,4.494466895,0.7158
"NORTH AMERICAN DESERTS",180.042,18,0.316864954,18,3.522534986,5.758,21.39073878,7.459447612,0.471381432993318,2.0883,5.08589260604039,5.20882145898706,0.878689752753074,1.837551767,10.9245407902284,5.03339691324944,13.8329166013565,2.808998926,35,4.231691478,1.0064,7.698778896,2.68812762832499,0.783888082,2.81728266613342,11.87551284,0.056910584984393,23.66666667,1,0.220920674,35.4,154.3,0.404843128830265,0.1093,1.79723548966857,7.6,61,0.852944121154489,0.462214372,"1",0.755218109382094,0.549603164,0.364935258116239,155.702,2.246023111,673.2912,1.88758489159305,30,0.7677,4.11281241,0.4876
"NORTH AMERICAN DESERTS",184.389,21.688784677273,0.318571064,22,3.080118016,6.767,22.54002752,6.015894594,0.477425,1.7644,4.02035,4.154575,0.8843125,1.485180185,6.97155,3.978025,10.95805,3.353716827,33,3.738036903,2.0515,7.017183073,2.1788625,0.77773192,2.2806875,12.57190416,0.052675,24,4,0.226944124,37.2,146.8,0.407125,0.0848,1.763475,5.5,56,0.8532,0.454484812,"1",0.7584625,0.548780289,0.372675,177.546,1.807395139,512.4764,1.834375,38,0.8787,4.633042246,0.876
"NORTH AMERICAN DESERTS",175.32,16,0.30782569,18,2.717802914,6.733,18.10103593,6.18372442,0.4626,1.5831,4.6381375,4.7689875,0.8851125,1.22635434,7.4572625,4.4873375,11.921475,3.149954404,20,4.015192217,1.35,6.686342434,2.0835875,0.687819275,2.14445,12.62550041,0.05665,29.33333333,3,0.250638832,22.3,98.9,0.403475,0.0872,2.0410625,12,47,0.8384625,0.441535478,"1",0.7336625,0.600752573,0.39955,129.54,1.598683855,467.2028,2.1620625,35,0.8235,4.452369501,0.8811
"NORTH AMERICAN DESERTS",194.001,18,0.321018964,18,2.630696561,5.99,26.06667764,6.97855625,0.49495,1.8994,4.3603125,4.5187875,0.8586875,1.456107156,7.7208875,4.3166875,11.88015,3.306116419,26,3.700973268,2.1333,6.883492419,2.1907625,0.940849758,2.2754375,12.21728838,0.0575625,21,2,0.214880336,29.1,117.4,0.4383625,0.094,1.7363875,2.5,50,0.8104125,0.464100701,"1",0.7105875,0.537566061,0.372525,162.56,1.963320943,474.2289,1.9827375,31,0.892,4.374912259,0.9209
"NORTH AMERICAN DESERTS",205.076,17,0.32159297,18,2.430411455,5.901,23.63179399,7.03472459,0.4686625,1.4744,4.0018375,4.123175,0.8578625,1.448474155,8.10205,3.9753625,11.515025,3.454844162,32,3.254530046,1.6417,5.807171954,2.598225,0.865479118,2.68815,11.16956065,0.045375,23,3,0.209083462,24.7,99.7,0.4029875,0.0836,1.4364,5,48,0.8549125,0.469323568,"1",0.744875,0.550769778,0.3997125,128.778,1.587180118,397.4742,1.5318875,27,0.8736,3.925484403,0.8659
"NORTH AMERICAN DESERTS",187.984,15,0.332086773,20,1.952468508,6.705,24.59742842,5.847883524,0.473324704963201,1.7094,4.94085115669917,5.06857786760183,0.875995435305006,0.901473924,10.3136222312521,4.89087707695222,13.454169506293,2.876077631,24,2.314148355,1.9798,4.561063905,2.60712449298713,0.494595393,2.73144421392345,6.667952561,0.0565944253328234,20.66666667,4,0.169083539,23,100.4,0.407706089268399,0.0963,1.78619243010072,13,52,0.850224517785338,0.498829688,"1",0.75142156071184,0.506796392,0.365903248140381,130.302,1.776245079,391.8787,1.8895509995547,24,0.8503,2.217228969,0.9032
"NORTH AMERICAN DESERTS",172.094,20,0.310731344,20,3.016510282,5.892,21.36211833,7.096833895,0.471702577265398,1.6781,4.97190351049051,5.09783172590813,0.876216858057045,1.294408923,10.3788891744205,4.92066222112684,13.5122162408405,3.297290942,26,3.903326013,2.1792,7.131286239,2.61026602054959,0.976014302,2.7362534776401,12.87001605,0.0569155876291028,23,2,0.221559148,34.1,119.2,0.407497861936296,0.1089,1.7939613889121,8,52,0.849719257315038,0.467709508,"0",0.750999928475983,0.548423798,0.365432890790059,144.272,1.793074904,432.7727,1.89804099506852,39,0.8988,4.446692457,0.8919
"NORTH AMERICAN DESERTS",172.675,17,0.316675836,21,2.544139448,4.924,20.3642061,8.117854906,0.491,1.7716,4.3351875,4.487725,0.8831875,1.668495485,8.0072125,4.2849375,11.783075,3.098364833,26,3.795906683,2.0985,6.077477001,2.2741,0.781226479,2.3746375,11.76009082,0.05485,25,2,0.207702331,27.8,109.1,0.424925,0.0812,1.7762875,15,50,0.83805,0.475621833,"1",0.74505,0.615616453,0.3698875,176.276,1.796827411,464.311,1.887,35.8665222284241,0.8878,3.902054968,0.8892
"NORTH AMERICAN DESERTS",175.909,20,0.316100939,19,2.258798727,5.361,22.17183228,7.212438791,0.48,1.9014,4.914625,5.022075,0.874425,1.313327125,9.4195125,4.8498125,13.155975,3.430531642,26,3.520305445,2.4018,5.612178462,2.3839,0.771782324,2.50825,12.06942736,0.0587625,20.66666667,3,0.222694689,27,99.7,0.4406125,0.1037,1.78905,2.5,50,0.7980375,0.461204373,"1",0.7072125,0.627019406,0.3736625,175.768,1.925817064,476.1993,2.0413125,29,0.8594,4.409875497,0.8952
"NORTH AMERICAN DESERTS",182.141,13,0.317342059,16,2.174804453,6.411,20.24304919,6.435387273,0.473066153201587,1.6649,4.96734110914256,5.09419218856268,0.876052286530956,1.446026922,10.4113767248797,4.91733272862001,13.5272698869251,3.027946268,20,3.859161084,2.0818,5.464235868,2.61617122703043,0.683070812,2.74297347207233,11.5864912,0.0567862909125507,18.66666667,3,0.232687863,27.6,82.6,0.4083858492345,0.1065,1.78719517731636,6.5,44,0.849348970768137,0.449970078,"1",0.750790231072647,0.706027055,0.364573896712249,150.622,1.73953157,456.1302,1.89278959187027,24,0.8577,3.952671858,0.8774
"NORTH AMERICAN DESERTS",184.295,20.9251757737548,0.31466399,18,2.382578786,5.764,24.47399929,7.129859633,0.472338367499119,1.6156,4.94548087896719,5.07330663261571,0.87614424731789,1.254241132,10.2412167448373,4.89540690580364,13.4382451526834,2.895592353,24,3.73594727,1.6786,6.084333782,2.58486525794402,0.640944521,2.71102819193774,10.81778035,0.0571406233544208,30,4,0.221568681,23,118.3,0.409173614155301,0.0815,1.79778877924665,13.84418208041,50,0.847672401240442,0.46376733,"0",0.749409064821661,0.614027337,0.364243993995887,116.586,1.63703125,372.9608,1.90756304151191,35.9556373727958,0.9082,3.743742341,0.8889
"NORTH AMERICAN DESERTS",170.279,17,0.307982781,19,5.154241352,5.77,20.92040601,7.33005201,0.46525,1.5063,5.4438,5.583275,0.8854375,2.105456525,14.4987875,5.3366375,15.5361875,3.302554283,27,6.77474599,1.6628,12.30885812,3.4634,1.800634226,3.569225,22.24733696,0.0468375,31,1,0.240235143,36.4,136.4,0.386475,0.1251,1.5055625,20.5,55,0.8592875,0.451782075,"0",0.7577625,0.582319397,0.39545,181.864,1.848940909,734.0284,1.5456875,37,0.8882,8.080961547,0.8924
"NORTH AMERICAN DESERTS",165.112,28,0.30598624,28,4.226612359,5.245,15.5567462,8.308900025,0.467773738620999,1.711,5.05558372126274,5.18050047048588,0.87589941223501,2.012549579,10.6972631634746,5.00624395825106,13.7123273907386,3.280174531,42,6.442635121,1.8284,12.49513973,2.66606094455601,1.644514553,2.78602160590573,21.13971169,0.0558816566308532,32,1,0.244270556,35.8,212.4,0.402021006034023,0.1071,1.79186613774184,13.5,72,0.851691864787849,0.449743205,"0",0.752720812263055,0.515830952,0.370655535336872,156.972,1.898660813,628.6844,1.88983043136785,31,0.8877,7.554832256,0.8877
"NORTH AMERICAN DESERTS",183.294,24,0.315962334,28,3.596298645,4.816,25.91837494,8.929239719,0.468540403864706,1.2845,5.10495335653392,5.22777121163543,0.877327718097059,1.658291006,10.9961634961791,5.05437236793888,13.8734775963112,2.61846641,37,5.89712395,1.3581,12.25297783,2.71164518735648,1.323363177,2.83543301849169,15.29901001,0.0561327812794474,33,1,0.228927297,41,198.3,0.401956411237454,0.1415,1.78411631008641,17,69,0.852933245204677,0.455110369,"0",0.754710599653325,0.480551476,0.368793934556536,147.066,1.399481753,547.4954,1.87612010917543,32,0.8739,5.010856931,0.7776
"NORTH AMERICAN DESERTS",175.572,20,0.313945276,22,4.344117157,5.867,22.42035063,7.20249558,0.46849234064231,1.4148,5.13355109656945,5.25459470356156,0.877513814727612,2.036269055,11.2038064299854,5.08080198887233,13.9907597575689,2.937307486,28,6.13100741,1.8662,11.19524983,2.74489497270546,1.600889536,2.87305509241585,18.00516813,0.0561629139397535,30,1,0.226374365,33,162.1,0.40224200766318,0.127,1.77485671162916,9.5,55,0.854098120162428,0.459680359,"0",0.755307398774507,0.547671507,0.367168361445388,186.436,1.513078157,644.7356,1.86346526782109,35,0.8892,6.142286405,0.8947
"NORTH AMERICAN DESERTS",162.205,35,0.310298696,37,4.268450594,4.189,21.8300471945074,10.62981953,0.463633333,1.46220700438887,5.746733333,5.868883333,0.88025,1.859533144,14.35496667,5.713216667,15.99411667,2.693294574,51,6.35000905,1.49511177981529,12.66668119,3.15915,1.776929831,3.34435,17.09875689,0.0588,27.5,1,0.268364107,38.4,192.104394620331,0.410066667,0.114632560805176,1.69285,23,83,0.833566667,0.421337197,"0",0.7445,0.501676898,0.339983333,153.539512312077,1.62282066821655,580.857626253286,1.820183333,41,0.871499263462086,5.651360909,0.826193413694584
"NORTH AMERICAN DESERTS",132.282,23,0.322840598,25,4.829668829,4.988,22.83284957,8.808360492,0.45652,1.2517,6.01346,6.16192,0.84238,1.901070729,13.8433,5.87162,16.16718,3.468862353,38,5.193018727,1.3986,11.7456189,2.93794,1.661871695,3.03954,17.99253601,0.05554,25.33333333,1,0.117733327,35,204.9,0.3986,0.1356,1.8569,12.5,66,0.8795,0.559426075,"0",0.73854,0.442963204,0.3956,127,1.438959865,550.2819,2.00126,30,0.8929,6.829555659,0.9029
"NORTH AMERICAN DESERTS",174.864903556793,19,0.314260623233304,22,4.691333742,5.306,27.99208306,8.083546073,0.468768880858653,1.2481,5.18665626360462,5.30617308348744,0.878102333117515,2.3466278,11.3503794708814,5.13402480563952,14.0935136981195,2.853468177,32,6.576390125,1.2757,12.34039159,2.75483065685213,1.811138759,2.88162409646438,18.75727119,0.0561504146893453,28.33333333,3,0.222504100492923,39.6,167.5,0.401147531530362,0.1345,1.78995359071126,23,67,0.854716369367358,0.463235275892435,"1",0.756243478029945,0.552757691,0.368194597559855,177.292,1.496376618,780.9,1.87716101204501,40,0.9161,6.565402022,0.9025
"NORTH AMERICAN DESERTS",172.147,17,0.312639779,20,3.828413248,6.833,24.76824075,6.306131223,0.4700381253831,1.48,5.14310134632474,5.26259689703726,0.877870085814496,2.237911185,11.1820536629101,5.08941288508345,13.9907077805115,3.019116193,32,5.678185057,1.3728,10.43278436,2.73079067401383,1.704054343,2.86015989046129,17.13278904,0.056556245228597,27,0,0.228612755,30.6,136.4,0.403100944509789,0.0934,1.78806226128424,22.5,52,0.854045779753701,0.458747466,"0",0.755455796235793,0.54552042,0.366256799546593,163.83,1.666980315,652.2192,1.87767974830036,38,0.8838,5.857952022,0.7851
"NORTH AMERICAN DESERTS",178.801,29,0.309617955,30,4.149720257,3.907,21.58274681,7.866616914,0.44805,1.2729,4.856425,5.0148875,0.8764375,1.845044676,9.6477625,4.820725,13.2540375,3.235963071,39,4.968356613,1.3923,8.564716876,2.5267875,1.307244193,2.7014125,16.0871783,0.0609375,32.66666667,1,0.246889,47.1,220.1,0.4145125,0.0969,1.74555,9.5,70,0.8218,0.443493045,"1",0.7298125,0.580830486,0.3358,154.94,1.373881639,546.7726,1.9250625,32,0.9299,5.705759888,0.8984
"NORTH AMERICAN DESERTS",201.656,18,0.316583687,17,3.737697575,7.117,49.11516022,6.021384225,0.470101409339611,1.7733,5.09387761900544,5.21615526669023,0.876307755791453,2.010353217,10.8789502777097,5.04110155602601,13.8431504436549,3.686129989,24,4.478264203,2.1957,8.853107377,2.67620058038235,1.044222862,2.80487780913104,17.22286921,0.0569661243440607,18.5,0,0.215882493,44.3,103.7,0.406593214927473,0.1187,1.79361373944032,10,50,0.849611511712558,0.46753382,"0",0.750862904971536,0.505277167,0.365880368180384,131.318,1.956052493,395.0662,1.89749671528377,47,0.8688,6.152768891,0.8938
"NORTH AMERICAN DESERTS",190.926,20,0.313121314,22,3.349131475,6.022,32.13989977,7.148584709,0.4713662067527,1.3995,5.03574475263381,5.15993429827287,0.877673121977337,1.849101112,10.7672532990154,4.98533407773594,13.7186750679592,3.962362689,35,3.58449291,1.6349,7.765966837,2.67780727687727,0.89566382,2.80435785438468,14.20582224,0.0564187257643788,20.33333333,2,0.224505829,42.8,173.6,0.405072954698403,0.1148,1.77947443621653,20,61,0.851592031892366,0.462372856,"1",0.753690446057744,0.463145797,0.365961382442715,134.874,1.54214943,493.7028,1.87461250579453,37,0.8655,5.53951155,0.886
"NORTH AMERICAN DESERTS",188.787,26,0.286169069,27,3.38524342619452,5.596,21.9349704,7.839126742,0.46873329324273,1.5676,5.01656584926718,5.14475917468863,0.876775098481585,1.66839661783149,10.5199518288397,4.96712947162617,13.6112525858087,3.30626082549303,32,4.62336697075429,1.399,8.54956964773192,2.63338148211282,1.13434192845746,2.75809571679189,15.0684995762919,0.0565678431235766,33.5,1,0.100547178,41.1,269,0.404425200931486,0.121,1.7972258128813,16,64.3227979917044,0.850110949558634,0.613283754,"1",0.751980415442229,0.545138550750506,0.367530972863514,194.056,1.637567568,682.7222,1.89789714930639,37.2755778701597,0.8061,5.36434730000822,0.8484
"NORTH AMERICAN DESERTS",176.151,28,0.315990258,25,3.386514551,4.185,22.98435187,10.86601385,0.4596,1.4531,4.1499875,4.3017875,0.8472375,1.587761026,7.0724875,4.067975,11.4403,3.047646918,28,4.802481586,1.6463,8.967159609,2.14445,1.443541204,2.270125,14.57814756,0.0571375,33.33333333,3,0.194804458,45.5,182.6,0.464825,0.1219,1.606525,15.5,63,0.780875,0.489205284,"1",0.673175,0.535706013,0.364075,167.132,1.598229525,594.8838,1.903125,36.7215505120903,0.9106,5.063187033,0.897
"NORTH AMERICAN DESERTS",179.754,36,0.312682889,34,4.835201216,4.048,23.77365955,10.61236046,0.4539375,1.6838,4.7215,4.8567,0.8703625,2.088096033,8.8135,4.6698875,12.6485625,3.376219042,39,4.892354486,2.0273,9.989281436,2.407725,1.046339673,2.5082625,16.50137692,0.057,24,0,0.217302536,41.4,215.5,0.4029,0.1303,1.815525,11,75,0.8426375,0.470014575,"0",0.7401625,0.490671293,0.384025,146.558,1.843605447,478.1982,1.9400625,37,0.8956,5.923497104,0.9196
"NORTH AMERICAN DESERTS",189.659,20,0.322315313,22,3.280497834,6.125,21.44442966,6.850989349,0.469699059358297,1.4623,5.10765077846649,5.2286594043406,0.877321017924614,2.010722443,11.0192856510623,5.05639702181443,13.8927084547859,2.683073457,34,4.777380311,1.6544,9.216943622,2.71024934602459,1.547998907,2.83671921574259,12.83662302,0.0564009017077214,20.33333333,1,0.207177092,30.4,107.4,0.404432857446329,0.1073,1.78090138506129,13,58,0.850776025799281,0.470507595,"1",0.752805301400958,0.519198518,0.367522735916739,142.748,1.600489492,473.6007,1.87875160689007,35,0.8876,4.056975292,0.8929
"NORTH AMERICAN DESERTS",172.702,28,0.306012669,30,7.203023422,5.192,17.29774762,8.343434296,0.44565,1.6027,6.0563375,6.1529,0.868075,2.125257402,12.655475,6.0126625,15.7709375,3.305094096,46,4.985292057,1.9577,14.63667057,2.6643625,1.518593943,2.8522125,16.49679999,0.0660375,23,3,0.240616785,47.6,256.1,0.4091125,0.1361,2.0883125,21,74,0.8368875,0.453370546,"1",0.7361875,0.340492243,0.3466625,187.452,1.822731405,696.8211,2.2634,49,0.8476,6.102453621,0.862
"NORTH AMERICAN DESERTS",166.538,25,0.309917256,29,3.834745146,6.317,26.87316607,6.976882962,0.49025,1.4138,5.4252875,5.54245,0.88965,1.755502206,14.33925,5.3975,15.1691,2.736846409,24,5.188758665,1.5789,9.742956257,3.35095,1.316312207,3.42635,14.16854308,0.0471875,30,0,0.192670742,32.6,156.9,0.3815875,0.1135,1.59865,21,58,0.8734125,0.497412002,"0",0.7839,0.53647528,0.4072625,133.858,1.467620599,474.2183,1.614,29,0.8607,4.699704963,0.8624
"NORTH AMERICAN DESERTS",166.46,22,0.307887781,25,4.530311384,6.924,21.20980665,6.047834296,0.451675,1.2914,5.68325,5.7595375,0.8846375,2.266001888,12.85405,5.6382625,15.0262,3.468024522,30,5.104860872,1.3944,10.38277951,2.932925,1.705405299,3.0599125,17.7147576,0.05605,19,0,0.246431575,40.4,133.7,0.38275,0.1376,1.855625,21,51,0.8528125,0.445680644,"0",0.76145,0.493983418,0.3646625,162.814,1.360368141,634.9666,1.9305625,34,0.8367,6.621675548,0.8494
"NORTH AMERICAN DESERTS",178.1,16,0.313374509,19,3.224769874,7.136,24.99294175,6.096885673,0.464225,1.2804,5.5231875,5.63775,0.888725,2.19229591,13.988575,5.496725,15.245075,3.474403324,32,4.719345175,1.3243,8.68771653,3.1882375,1.395736956,3.3641625,16.37435195,0.054875,24.66666667,1,0.226704099,37.7,144.9,0.3961625,0.1154,1.6929375,20,53,0.860325,0.459921392,"0",0.772975,0.543139509,0.3430875,155.956,1.598421725,697.021,1.7305,45,0.8688,6.011295154,0.8688
"NORTH AMERICAN DESERTS",186.782,18,0.317991027,21,5.22916144,7.102,24.2547923640266,5.871204965,0.4793875,1.512,5.3736875,5.55595,0.8854875,2.112638766,14.4979375,5.263875,15.3835875,3.333871626,21,5.424124503,1.4719,11.72302149,3.38005,2.053903611,3.530875,18.05850807,0.05555,24.33333333,2,0.208826332,39.8,161.3,0.399725,0.1221,1.5488125,22,48,0.8737875,0.473182641,"0",0.7707875,0.463794599,0.3771625,178.816,1.582447376,635.4222,1.5599,44,0.8534,6.262459406,0.8493
"NORTH AMERICAN DESERTS",175.312,16,0.312191978,18,4.045228349,6.774,24.924275,6.225107159,0.44455,1.4856,5.012525,5.1335,0.862175,1.73793562175176,9.7740625,4.9715375,13.3982125,3.098228491,21,5.15282144,1.6529,10.95207328,2.5148625,1.641618358,2.6313,15.96565461,0.05775,29,4,0.237958611,40.3,147,0.41855,0.0985,1.76165,29.5,57,0.8124,0.449849411,"1",0.7134875,0.470417789,0.3788875,178.816,1.540839845,627.3615,1.97695,45,0.8388,5.703927347,0.9138
"NORTH AMERICAN DESERTS",167.315,15,0.307886322,17,4.8819421,6.334,17.12459449,6.75662305,0.4577125,1.6579,4.8088125,4.98215,0.80895,1.642202494,8.559625,4.7691375,12.7549,3.381113639,20,4.086857662,1.7664,10.05437245,2.2754125,1.226816574,2.370675,13.76740295,0.0564125,22,0,0.24616442,33.1,131.6,0.4258875,0.1073,1.82585,12.5,45,0.8451,0.445949257,"0",0.702825,0.411444698,0.39665,155.702,1.848179652,509.406,2.09935,35,0.8705,5.011585521,0.9047
