"","c_gbm.byClass"
"Sensitivity",0.781818181818182
"Specificity",0.80952380952381
"Pos Pred Value",0.728813559322034
"Neg Pred Value",0.85
"Precision",0.728813559322034
"Recall",0.781818181818182
"F1",0.754385964912281
"Prevalence",0.39568345323741
"Detection Rate",0.309352517985612
"Detection Prevalence",0.424460431654676
"Balanced Accuracy",0.795670995670996
